input,language,dialect,originregion
Nakatanggap ako ng magandang balita mula sa aking trabaho.,Filipino,Tagalog,Manila
Nagbabasa ako ng mga libro tuwing gabi bago matulog.,Filipino,Tagalog,Manila
Lumalangoy ako sa ilog tuwing Sabado.,Filipino,Tagalog,Manila
Nagtanim kami ng mga gulay sa aming bakuran.,Filipino,Tagalog,Manila
Kinuha niya ang laruan ng kanyang kapatid nang hindi pinaalam.,Filipino,Tagalog,Manila
Gusto kong magbakasyon sa isang magandang beach resort.,Filipino,Tagalog,Manila
Nag-aral ako ng mga bagong salita sa Tagalog.,Filipino,Tagalog,Manila
Kumain kami ng masarap na halo-halo sa tindahan sa kanto.,Filipino,Tagalog,Manila
Tinuruan ko ang aking anak na magbisikleta.,Filipino,Tagalog,Manila
Nagtayo kami ng kubo sa aming bakuran para sa pamilya.,Filipino,Tagalog,Manila
Aduna koy aso nga duol kaayo kanako.,Filipino,Cebuano,Cebu
Gusto kaayo ko ug manga.,Filipino,Cebuano,Cebu
Nagtanom ko'g mga rosas sa among hardin.,Filipino,Cebuano,Cebu
Ganahan ka ba'g musaka sa bukid?,Filipino,Cebuano,Cebu
Manguli ta ug sayo kay mag-uwan na.,Filipino,Cebuano,Cebu
Gi-papildi ko siya sa iyang assignment sa eskwela.,Filipino,Cebuano,Cebu
Nangutana siya kung kinsa ang nahimong kampeon.,Filipino,Cebuano,Cebu
Gihigugma ko ang mga kabukiran sa among lungsod.,Filipino,Cebuano,Cebu
Unsa may imong plano alang sa pista?,Filipino,Cebuano,Cebu
Nanglakaw siya padulong sa merkado.,Filipino,Cebuano,Cebu
Kanus-a pa ka mobalik gikan sa imong biyahe?,Filipino,Cebuano,Cebu
Nalipay kaayo ko sa imong pagbisita.,Filipino,Cebuano,Cebu
Magpabili ta ug mga prutas sa merkado.,Filipino,Cebuano,Cebu
Nahutdan na ug gasolina ang sakyanan.,Filipino,Cebuano,Cebu
Nanglibre siya ug kape sa tanan.,Filipino,Cebuano,Cebu
Nagpadala ko ug sulat sa akong pamilya.,Filipino,Cebuano,Cebu
Ang akong mga ginikanan nagpuyo sa probinsya.,Filipino,Cebuano,Cebu
Nagtambong siya sa simbahan kada Domingo.,Filipino,Cebuano,Cebu
Aduna koy daghang kaila sa amoang lugar.,Filipino,Cebuano,Cebu
Gisulayan niya ang iyang labing kinaiyahan.,Filipino,Cebuano,Cebu
"Uray no adda ka pay laeng iti panagtalonmi, isuna ket saan nga maisalakan.",Filipino,Ilocano,Ilocos Norte
Ti Ilocano ket maysa a mannurat a popular iti rehiyon.,Filipino,Ilocano,Ilocos Norte
Kasano a maikkat ti panagbisitami kadagiti kailianmi iti Domingo?,Filipino,Ilocano,Ilocos Norte
Saanak ammo ti oras ti darakkel ti agbasbasa kadagiti libro.,Filipino,Ilocano,Ilocos Norte
Agtudtudoak ti lengguahe a Ilocano ken Ingles kadagiti kababayanku.,Filipino,Ilocano,Ilocos Norte
Adda pay met ketdin iti isyu ti aglawlaw.,Filipino,Ilocano,Ilocos Norte
Isuda ket agturaytayo iti adu a ritrato nga addaan ti panagtuturing ti kada amin a balay.,Filipino,Ilocano,Ilocos Norte
"Uray no papananka ti panunotmo, uray laeng no adda pagkukurnel.",Filipino,Ilocano,Ilocos Norte
Saanak a mabalin a sumardeng iti oras no diak ammo ti agindeg iti kaso.,Filipino,Ilocano,Ilocos Norte
Agturaytayo met iti panangluto iti pagyamanan.,Filipino,Ilocano,Ilocos Norte
Nalatak pay ketdi iti nagbalin nga agpapada nga adda pay panunotna.,Filipino,Ilocano,Ilocos Norte
Nairaman ti ngato ni ina idi naikkatna ti ubing idiay pasyente.,Filipino,Ilocano,Ilocos Norte
Agturaytayo met iti panagkaon iti pablaokan.,Filipino,Ilocano,Ilocos Norte
Isu met laeng ti nasayaat a pampanidada iti paskua.,Filipino,Ilocano,Ilocos Norte
Saanak a mabalin a sumayaat iti panagdur-as dagiti kasa.,Filipino,Ilocano,Ilocos Norte
Saanak a mabalin a umusar kadagiti kasta a tawen.,Filipino,Ilocano,Ilocos Norte
Agpakada metten ti natay nga baro nga nagbalin a karpintero.,Filipino,Ilocano,Ilocos Norte
Nalaing metten ti pakipagkalaban kenka iti panggep ti balasang.,Filipino,Ilocano,Ilocos Norte
Saanak a mabalin a mabang-aran dagiti naggapu iti kaasi.,Filipino,Ilocano,Ilocos Norte
"Uray pay mabasbasiten dagiti kaso, agdama kami iti panangipadas.",Filipino,Ilocano,Ilocos Norte
Maayo nga aga sa imo!,Filipino,Hiligaynon,Iloilo
Indi ko gusto ang pag-ulan.,Filipino,Hiligaynon,Iloilo
Nagapangita ako sang akon bag-o nga sapatos.,Filipino,Hiligaynon,Iloilo
Lutoa ang pagkaon para sa panihapon.,Filipino,Hiligaynon,Iloilo
Asa ka magkadto sa bwas?,Filipino,Hiligaynon,Iloilo
Maayo gid nga adlaw ang gab-i.,Filipino,Hiligaynon,Iloilo
Ginahigugma ko ikaw sang labi.,Filipino,Hiligaynon,Iloilo
Magpalit ka sang bag-o nga biskwit sa tindahan.,Filipino,Hiligaynon,Iloilo
Mangita kita sang pinakamaayo nga kalan.,Filipino,Hiligaynon,Iloilo
Bawion mo ang imo mga laragway gikan sa telepono.,Filipino,Hiligaynon,Iloilo
May kaon kita sang lami nga sinugba.,Filipino,Hiligaynon,Iloilo
Palihug padal-an ako sang imo address.,Filipino,Hiligaynon,Iloilo
Ginaduaw namon ang mga paryente sa Domingo.,Filipino,Hiligaynon,Iloilo
Luspad na ang pagtubo sang mga tanum.,Filipino,Hiligaynon,Iloilo
Mag-ensayo kita para sa palumba.,Filipino,Hiligaynon,Iloilo
Indi ko gusto ang kahulugan sang imo ginbuhat.,Filipino,Hiligaynon,Iloilo
Nagapaabot ako sang pag-abot sang bag-o nga tuig.,Filipino,Hiligaynon,Iloilo
Nagahulat kami sang pag-abot sang bus.,Filipino,Hiligaynon,Iloilo
Masulhay ang pagbiyahe pa Iloilo paagi sa bapor.,Filipino,Hiligaynon,Iloilo
Nagahulat kami sang pag-abot sang tanan nga bisita.,Filipino,Hiligaynon,Iloilo
Maray na aga saimo!,Filipino,Bicolano,Bicol
Dai ka mag-uli nin huli.,Filipino,Bicolano,Bicol
Marhay na pag-adal sa eskwela.,Filipino,Bicolano,Bicol
Anong ngaran mo?,Filipino,Bicolano,Bicol
Marhay na aldaw saimo.,Filipino,Bicolano,Bicol
Salamat sa tabang mo.,Filipino,Bicolano,Bicol
Diit lang an bulod.,Filipino,Bicolano,Bicol
Dai magkakaraya sa mga istorya.,Filipino,Bicolano,Bicol
Kaogmaan saimo!,Filipino,Bicolano,Bicol
Hali na kita magkakadto.,Filipino,Bicolano,Bicol
Anong oras na?,Filipino,Bicolano,Bicol
Hilingon mo an kahoy.,Filipino,Bicolano,Bicol
Marhay na gabi saimo.,Filipino,Bicolano,Bicol
Mahiling ko an langit.,Filipino,Bicolano,Bicol
Mayado na an takot.,Filipino,Bicolano,Bicol
Saen ka nagtios?,Filipino,Bicolano,Bicol
Mag-ingat ka sa dara!,Filipino,Bicolano,Bicol
Ano an gusto mo?,Filipino,Bicolano,Bicol
Tama an pagtios sa panahon.,Filipino,Bicolano,Bicol
Nag-eenot na an bata.,Filipino,Bicolano,Bicol
Waray buwas an kasin-o magtikang sa imo hin kada-kalipayan.,Filipino,Waray-Waray,Eastern Visayas
Mabati an pag-irarom hito nga balay han akon amay.,Filipino,Waray-Waray,Eastern Visayas
Mayda kami hin luto nga adobong manok para ha piyesta.,Filipino,Waray-Waray,Eastern Visayas
Waray ako kadara han irarom nga balay kay waray ako kwarta.,Filipino,Waray-Waray,Eastern Visayas
"Nakalimutan ko an imo ngaran, patawara ako.",Filipino,Waray-Waray,Eastern Visayas
Gin-aman ko an akon trak kay nag-uruloban an makina.,Filipino,Waray-Waray,Eastern Visayas
Nagsiru-siru kami hin durudako nga isda ha dagat.,Filipino,Waray-Waray,Eastern Visayas
Mahiruyo an panagayup nga naglaum hin maupay nga ani.,Filipino,Waray-Waray,Eastern Visayas
"Nag-irarom an kamatis, sibuyas, ngan luya para ha sinigang.",Filipino,Waray-Waray,Eastern Visayas
Nangaykay ako hin tabako ha aton banwa.,Filipino,Waray-Waray,Eastern Visayas
Naglakat kami ha hardin para magsagana hin prutas.,Filipino,Waray-Waray,Eastern Visayas
Waray na ak mahibaro kon diin nagtago an akon bag-o nga sapatos.,Filipino,Waray-Waray,Eastern Visayas
Nagkapira ako hin manok para hit akon negosyo.,Filipino,Waray-Waray,Eastern Visayas
Mayda kami hin bulak para ha banig nga piyesta.,Filipino,Waray-Waray,Eastern Visayas
Ginkakarit ko an akon buhok para ha piyesta.,Filipino,Waray-Waray,Eastern Visayas
Gin-aguman ko an akon aklat para hit akon eskwela.,Filipino,Waray-Waray,Eastern Visayas
Nagsusuroy kami ha baybay para magkaritay.,Filipino,Waray-Waray,Eastern Visayas
Nagtikadkad kami hin mga bunga para ha panghanda hit kaon.,Filipino,Waray-Waray,Eastern Visayas
Nagkapira ako hin bugas para hiton aton panyaga.,Filipino,Waray-Waray,Eastern Visayas
Waray ko nabayad an utang ko kay waray akon trabaho.,Filipino,Waray-Waray,Eastern Visayas
"Awan pay ruar diad nagan ni Anton, baket nakainggana.",Filipino,Pangasinan,Pangasinan
Nakan manalansag kami'y maong diad salun-at.,Filipino,Pangasinan,Pangasinan
Mangibakas tan mangibakalan kami'y agawid iray bantay.,Filipino,Pangasinan,Pangasinan
Nariknak kami'y inergo diad bangar.,Filipino,Pangasinan,Pangasinan
Aliwak kami'y agbayle ket nanlabat iray ogay.,Filipino,Pangasinan,Pangasinan
Aglako kami'y isinabi diad pasong para sayay naipon.,Filipino,Pangasinan,Pangasinan
Nasunok tan nalaog kami'y iti diad sanipo.,Filipino,Pangasinan,Pangasinan
"Kanon niyadi'y asin, kanon toy ulam mo.",Filipino,Pangasinan,Pangasinan
Naibos kami'y inggatan diad gilay.,Filipino,Pangasinan,Pangasinan
Say namalitak na bibingka mabalon ya kalit.,Filipino,Pangasinan,Pangasinan
Inalada niyadi'y simbaan ed siudad.,Filipino,Pangasinan,Pangasinan
Natan ta nasingpet iray nagtitinda diad sentro.,Filipino,Pangasinan,Pangasinan
Inekit tan naalkansi kami'y maysa a banwa.,Filipino,Pangasinan,Pangasinan
Nagmula tan nanggulpi ya so kuyaw tan indi nakaaramak.,Filipino,Pangasinan,Pangasinan
Inala na ya so kawayan ya maisa a pasakupan.,Filipino,Pangasinan,Pangasinan
Nalinteg tan napa'di ya so aksidente diad baybay.,Filipino,Pangasinan,Pangasinan
Maysa so makikitak ya lambat ed dayew diad sapa.,Filipino,Pangasinan,Pangasinan
Masikep tan masanyog so pinablin ed maysa a laog.,Filipino,Pangasinan,Pangasinan
Inabuan ya yaanak so inalipdan diad agew na.,Filipino,Pangasinan,Pangasinan
Amang naagbirong tan agpupulot so nabilay diad langit.,Filipino,Pangasinan,Pangasinan
"Aba, nung eka pa mu uling matudtud ka?",Filipino,Kapampangan,Pampanga
Agkakaliwa ka at mapate mung kapilan ing balen.,Filipino,Kapampangan,Pampanga
Mayap a balita ing milub ning misa king simbaan.,Filipino,Kapampangan,Pampanga
Nanu ing akakit keng pamagluto na ning sisig?,Filipino,Kapampangan,Pampanga
Eka mu ini la e mu nung manunugis king suak.,Filipino,Kapampangan,Pampanga
Magluto ka muna ning arroz caldo para ke mama.,Filipino,Kapampangan,Pampanga
Masanting yang katawan mu pababa mung mara pung silya.,Filipino,Kapampangan,Pampanga
Masuca ya ing bangus a ing makanan mu.,Filipino,Kapampangan,Pampanga
Pitagan mo yang palage ning lub si Inang keka.,Filipino,Kapampangan,Pampanga
Ing sablan na ning panaun ini mabuti ya king pamanu.,Filipino,Kapampangan,Pampanga
Salamat kareng samang kayung tagapamaqui mung kekatamu.,Filipino,Kapampangan,Pampanga
Agkakastan ka nung e meka pa manakit at kala mu ne ing turingan.,Filipino,Kapampangan,Pampanga
Mipigil kaneng uli keng kung mekaluguran mu yang banwa.,Filipino,Kapampangan,Pampanga
Ing damdaman mu ket pin ya ning kamalayan ne atyu ka.,Filipino,Kapampangan,Pampanga
Eka mung manuluyan ing anggang susu.,Filipino,Kapampangan,Pampanga
Ing pangandoy mu ket yang miyus nung mekadua ka ngeni.,Filipino,Kapampangan,Pampanga
Masap ya naman ing kalamunding a ini mangustu.,Filipino,Kapampangan,Pampanga
Matas at kagulut ya ini pa naman keng kasalanan.,Filipino,Kapampangan,Pampanga
Lutuan mu naman yang kekatamu deng pamangan.,Filipino,Kapampangan,Pampanga
"Nung pamangculayan mu ne ini ya, e mu pung nung ilu.",Filipino,Kapampangan,Pampanga
Assalamu alaikum!,Filipino,Maranao,Lanao del Sur
Salamun alaikum!,Filipino,Maranao,Lanao del Sur
Maphilak ka?,Filipino,Maranao,Lanao del Sur
"Maphilak, matagu!",Filipino,Maranao,Lanao del Sur
Inonta so kabni?,Filipino,Maranao,Lanao del Sur
Inonta so manga!,Filipino,Maranao,Lanao del Sur
Mataku sa ka!,Filipino,Maranao,Lanao del Sur
Rangit so langit!,Filipino,Maranao,Lanao del Sur
Rangit so dagat!,Filipino,Maranao,Lanao del Sur
Kapamagosak ka!,Filipino,Maranao,Lanao del Sur
"Kapamagosak, kiyami!",Filipino,Maranao,Lanao del Sur
Madi ka mapita?,Filipino,Maranao,Lanao del Sur
"Madi, mapita!",Filipino,Maranao,Lanao del Sur
Pangoya so manga!,Filipino,Maranao,Lanao del Sur
Pangoya so kabni!,Filipino,Maranao,Lanao del Sur
Mimbagak sa ka!,Filipino,Maranao,Lanao del Sur
Mimbagak sa kabni!,Filipino,Maranao,Lanao del Sur
Kapantagan ka!,Filipino,Maranao,Lanao del Sur
"Kapantagan, kiyami!",Filipino,Maranao,Lanao del Sur
Mataku sa manga!,Filipino,Maranao,Lanao del Sur
Kuwanu ka ba?,Filipino,Tausug,Sulu Archipelago
Mangayu' kaw sagpat.,Filipino,Tausug,Sulu Archipelago
Inikanu ka diya?,Filipino,Tausug,Sulu Archipelago
Kasilas ka ba?,Filipino,Tausug,Sulu Archipelago
Piyalu kaw magpasa.,Filipino,Tausug,Sulu Archipelago
Kuwanu niya ba?,Filipino,Tausug,Sulu Archipelago
Mangayu' kaw takus.,Filipino,Tausug,Sulu Archipelago
Inikanu ka yasa?,Filipino,Tausug,Sulu Archipelago
Kasilas ka diya.,Filipino,Tausug,Sulu Archipelago
Piyalu kaw magdadadua.,Filipino,Tausug,Sulu Archipelago
Kuwanu niya yasa.,Filipino,Tausug,Sulu Archipelago
Mangayu' kaw sagpasa.,Filipino,Tausug,Sulu Archipelago
Inikanu ka takus.,Filipino,Tausug,Sulu Archipelago
Kasilas ka sagpat.,Filipino,Tausug,Sulu Archipelago
Piyalu kaw magpasa.,Filipino,Tausug,Sulu Archipelago
Kuwanu ka yasa ba?,Filipino,Tausug,Sulu Archipelago
Mangayu' kaw dadadua.,Filipino,Tausug,Sulu Archipelago
Inikanu ka sagpat.,Filipino,Tausug,Sulu Archipelago
Kasilas ka takus.,Filipino,Tausug,Sulu Archipelago
Piyalu kaw sagdadadua.,Filipino,Tausug,Sulu Archipelago
Mä olen lähdössä kauppaan.,Finnish,Helsinki,Helsinki
"Hei hei, mitä kuuluu?",Finnish,Helsinki,Helsinki
"Mä en oo varma, mutta...",Finnish,Helsinki,Helsinki
"Kattoo, että saat!",Finnish,Helsinki,Helsinki
"Miten menee, veli?",Finnish,Helsinki,Helsinki
"Ei se mitään, mä en oo kiinnostunut.",Finnish,Helsinki,Helsinki
"Ohoi, mitä sä teet?",Finnish,Helsinki,Helsinki
"Mä lähden myöhemmin, hei!",Finnish,Helsinki,Helsinki
"Miten sä täällä, hei?",Finnish,Helsinki,Helsinki
Ei oo täällä mitään järkeä!,Finnish,Helsinki,Helsinki
"Mä tulen myöhemmin, odottele!",Finnish,Helsinki,Helsinki
"Miten menee, kaveri?",Finnish,Helsinki,Helsinki
"Mä en oo kiinnostunut, ei kiitos.",Finnish,Helsinki,Helsinki
"Mä olen nälkäinen, saatko jotain syötävää?",Finnish,Helsinki,Helsinki
"Ei se mitään, mä en oo varma.",Finnish,Helsinki,Helsinki
"Ohoi, mitä sä ajat?",Finnish,Helsinki,Helsinki
"Mä lähden nyt, hei hei!",Finnish,Helsinki,Helsinki
"Miten menee, pikkusisko?",Finnish,Helsinki,Helsinki
Ei oo täällä mitään väliä!,Finnish,Helsinki,Helsinki
"Mä tulen myöhemmin, nähdään!",Finnish,Helsinki,Helsinki
Mä oon menossa kauppaan.,Finnish,Savonian,Savo
"Hei hei, mitä kuulut?",Finnish,Savonian,Savo
"Mä en oo varma, mutta...",Finnish,Savonian,Savo
"Miten menee, pikkuvelli?",Finnish,Savonian,Savo
"Ei se mitään, mä en oo kiinnostunu.",Finnish,Savonian,Savo
"Ohoi, mitä sä teet?",Finnish,Savonian,Savo
"Mä lähden myöhemmin, hei!",Finnish,Savonian,Savo
"Miten sä täällä, hei?",Finnish,Savonian,Savo
Ei oo täällä mitään järkee!,Finnish,Savonian,Savo
"Mä tulen myöhemmin, odottele!",Finnish,Savonian,Savo
"Hei hei, hei hei!",Finnish,Savonian,Savo
"Miten menee, kaverukki?",Finnish,Savonian,Savo
"Mä en oo kiinnostunu, ei kiitos.",Finnish,Savonian,Savo
"Mä oon nälkäinen, saatko jotain syötävää?",Finnish,Savonian,Savo
"Ei se mitään, mä en oo varma.",Finnish,Savonian,Savo
"Ohoi, mitä sä ajat?",Finnish,Savonian,Savo
"Mä lähden nyt, hei hei!",Finnish,Savonian,Savo
"Miten menee, pikkusisko?",Finnish,Savonian,Savo
Ei oo täällä mitään väliä!,Finnish,Savonian,Savo
"Mä tulen myöhemmin, nähdään!",Finnish,Savonian,Savo
Mä olen menossa kauppaaha.,Finnish,Karelian,Karelia
"Hei hei, mitä kuulut?",Finnish,Karelian,Karelia
"Mä en oo varmaa, mutta...",Finnish,Karelian,Karelia
"Kattoo, että saat!",Finnish,Karelian,Karelia
"Miten menee, pienuveli?",Finnish,Karelian,Karelia
"Ei se mitään, mä en oo kiinnostunut.",Finnish,Karelian,Karelia
"Ohoi, mitä sä teet?",Finnish,Karelian,Karelia
"Mä lähden myöhemmin, hei!",Finnish,Karelian,Karelia
"Miten sä täällä, hei?",Finnish,Karelian,Karelia
Ei oo täällä mitään järkeä!,Finnish,Karelian,Karelia
"Mä tulen myöhemmin, odottele!",Finnish,Karelian,Karelia
"Miten menee, kaverukki?",Finnish,Karelian,Karelia
"Mä en oo kiinnostunut, ei kiitos.",Finnish,Karelian,Karelia
"Mä olen nälkäinen, saatko jotain syötävää?",Finnish,Karelian,Karelia
"Ei se mitään, mä en oo varmaa.",Finnish,Karelian,Karelia
"Ohoi, mitä sä ajat?",Finnish,Karelian,Karelia
"Mä lähden nyt, hei hei!",Finnish,Karelian,Karelia
"Miten menee, pienuveli?",Finnish,Karelian,Karelia
Ei oo täällä mitään väliä!,Finnish,Karelian,Karelia
"Mä tulen myöhemmin, nähdään!",Finnish,Karelian,Karelia
Mä olen lähdössä kauppaan.,Finnish,Ostrobothnian,Ostrobothnia
"Hei hei, mitä kuulut?",Finnish,Ostrobothnian,Ostrobothnia
"Mä en oo varmaa, mutta...",Finnish,Ostrobothnian,Ostrobothnia
"Kattoo, että saat!",Finnish,Ostrobothnian,Ostrobothnia
"Miten menee, pikkuveli?",Finnish,Ostrobothnian,Ostrobothnia
"Ei se mitään, mä en oo kiinnostunu.",Finnish,Ostrobothnian,Ostrobothnia
"Mä lähden myöhemmin, hei!",Finnish,Ostrobothnian,Ostrobothnia
"Miten sä täällä, hei?",Finnish,Ostrobothnian,Ostrobothnia
Ei oo täällä mitään järkeä!,Finnish,Ostrobothnian,Ostrobothnia
"Mä tulen myöhemmin, odottele!",Finnish,Ostrobothnian,Ostrobothnia
"Hei hei, hei hei!",Finnish,Ostrobothnian,Ostrobothnia
"Miten menee, kaverukki?",Finnish,Ostrobothnian,Ostrobothnia
"Mä en oo kiinnostunu, ei kiitos.",Finnish,Ostrobothnian,Ostrobothnia
"Mä olen nälkäinen, saatko jotain syötävää?",Finnish,Ostrobothnian,Ostrobothnia
"Ei se mitään, mä en oo varmaa.",Finnish,Ostrobothnian,Ostrobothnia
"Ohoi, mitä sä ajat?",Finnish,Ostrobothnian,Ostrobothnia
"Mä lähden nyt, hei hei!",Finnish,Ostrobothnian,Ostrobothnia
"Miten menee, pikkuveli?",Finnish,Ostrobothnian,Ostrobothnia
Ei oo täällä mitään väliä!,Finnish,Ostrobothnian,Ostrobothnia
"Mä tulen myöhemmin, nähdään!",Finnish,Ostrobothnian,Ostrobothnia
Miten teitä käy?,Finnish,Tavastian,Häme
Tää on hyvä päivä!,Finnish,Tavastian,Häme
Mä olen lähdössä kaupunkiin.,Finnish,Tavastian,Häme
Miten vanha sinä olet?,Finnish,Tavastian,Häme
Täällä on kylmää.,Finnish,Tavastian,Häme
Mä olen nälkäinen.,Finnish,Tavastian,Häme
Tää on minun kirja.,Finnish,Tavastian,Häme
Sinä olet kiva!,Finnish,Tavastian,Häme
Miten menee?,Finnish,Tavastian,Häme
Mä tulen myöhemmin.,Finnish,Tavastian,Häme
Täällä on paljon ihmisiä.,Finnish,Tavastian,Häme
Tää on hieno päivä!,Finnish,Tavastian,Häme
Miten sinä sanot?,Finnish,Tavastian,Häme
Mä olen iloinen.,Finnish,Tavastian,Häme
Täällä on kuumaa.,Finnish,Tavastian,Häme
Mä olen kiireinen.,Finnish,Tavastian,Häme
Tää on hyvä idea!,Finnish,Tavastian,Häme
Miten sinä teet?,Finnish,Tavastian,Häme
Mä olen onnellinen.,Finnish,Tavastian,Häme
Täällä on rauhallista.,Finnish,Tavastian,Häme
Mää tulen kaupunkiin.,Finnish,Meänkieli,Torne Valley
Tämä on minun kirjani.,Finnish,Meänkieli,Torne Valley
Mää olen lääkäri.,Finnish,Meänkieli,Torne Valley
Sun on iso talo.,Finnish,Meänkieli,Torne Valley
Mää menen kouluun.,Finnish,Meänkieli,Torne Valley
Tämä on hieno päivä.,Finnish,Meänkieli,Torne Valley
Mää syön kahvia.,Finnish,Meänkieli,Torne Valley
Sinä olet opettaja.,Finnish,Meänkieli,Torne Valley
Mää luen kirjaa.,Finnish,Meänkieli,Torne Valley
Tämä on iso järvi.,Finnish,Meänkieli,Torne Valley
Sun on pieni koira.,Finnish,Meänkieli,Torne Valley
Mää olen onnellinen.,Finnish,Meänkieli,Torne Valley
Tämä on hyvä ruoka.,Finnish,Meänkieli,Torne Valley
Mää menen ulos.,Finnish,Meänkieli,Torne Valley
Sinä olet nuori.,Finnish,Meänkieli,Torne Valley
Mää tiedän vastauksen.,Finnish,Meänkieli,Torne Valley
Tämä on kiva talo.,Finnish,Meänkieli,Torne Valley
Mää olen väsynyt.,Finnish,Meänkieli,Torne Valley
Sun on kalliit korut.,Finnish,Meänkieli,Torne Valley
Mää menen nukkumaan.,Finnish,Meänkieli,Torne Valley
"Hei, kuulepä!",Finnish,Tornedalian,Tornedalia
Mää olen lähtiämäs kaupunkiin.,Finnish,Tornedalian,Tornedalia
Sul on se hyvä päivä!,Finnish,Tornedalian,Tornedalia
Miten sul on menossa?,Finnish,Tornedalian,Tornedalia
Mää olen kylmää.,Finnish,Tornedalian,Tornedalia
Tuleeko sul kaupunkiin?,Finnish,Tornedalian,Tornedalia
Mää olen nälkänen.,Finnish,Tornedalian,Tornedalia
"Hei, miten mää voisin auttaa?",Finnish,Tornedalian,Tornedalia
Sul on hyvä päivä!,Finnish,Tornedalian,Tornedalia
Mää tulen myöhemmin.,Finnish,Tornedalian,Tornedalia
Miten mää voisin päästä kaupunkiin?,Finnish,Tornedalian,Tornedalia
Mää olen väsynyt.,Finnish,Tornedalian,Tornedalia
Tuleeko sul lähtiämään?,Finnish,Tornedalian,Tornedalia
Mää olen iloinen nähdessään sul.,Finnish,Tornedalian,Tornedalia
Miten mää voisin auttaa sul?,Finnish,Tornedalian,Tornedalia
Mää tulen aamulla.,Finnish,Tornedalian,Tornedalia
Mää olen kiitollinen sulle.,Finnish,Tornedalian,Tornedalia
"Hei, hei, hei!",Finnish,Tornedalian,Tornedalia
Mää olen lähdössä.,Finnish,Tornedalian,Tornedalia
Miten mää voisin päästä sinne?,Finnish,Tornedalian,Tornedalia
Minä olen tulossa läntään.,Finnish,Ingrian,Ingria
Sinä olet kaunis.,Finnish,Ingrian,Ingria
Meillä on paljon pelloja.,Finnish,Ingrian,Ingria
Hevoset ovat suuria.,Finnish,Ingrian,Ingria
Minulla on kaksi siskoja.,Finnish,Ingrian,Ingria
Sinä ajat nopeasti.,Finnish,Ingrian,Ingria
Meillä on iso talo.,Finnish,Ingrian,Ingria
Lumi on valkoista.,Finnish,Ingrian,Ingria
Minä syön paljon marjoja.,Finnish,Ingrian,Ingria
Sinä olet vahva.,Finnish,Ingrian,Ingria
Meillä on kaksi koivua.,Finnish,Ingrian,Ingria
Hevoset ovat nopeita.,Finnish,Ingrian,Ingria
Minulla on iso veli.,Finnish,Ingrian,Ingria
Sinä laulat kauniisti.,Finnish,Ingrian,Ingria
Meillä on paljon metsää.,Finnish,Ingrian,Ingria
Lumi on kylmää.,Finnish,Ingrian,Ingria
Minä menen metsään.,Finnish,Ingrian,Ingria
Sinä olet hyvä käsityömies.,Finnish,Ingrian,Ingria
Meillä on kaksi tyttöä.,Finnish,Ingrian,Ingria
Hevoset ovat suuria ja vahvoja.,Finnish,Ingrian,Ingria
Tere kuuzi!,Finnish,Votic,Ingria
Minä tulen koukuhisto.,Finnish,Votic,Ingria
Sinä olet suurõ.,Finnish,Votic,Ingria
Meil on kuuzi.,Finnish,Votic,Ingria
Sinä olet külä.,Finnish,Votic,Ingria
Minä annan sulle kuuzi.,Finnish,Votic,Ingria
Meil on külä.,Finnish,Votic,Ingria
Tulen minä koukuhisto.,Finnish,Votic,Ingria
"Sinä olet suurõ, minä olen väiko.",Finnish,Votic,Ingria
Meil on suurõ kuuzi.,Finnish,Votic,Ingria
"Minä olen väiko, sinä olet suurõ.",Finnish,Votic,Ingria
Meil on väiko külä.,Finnish,Votic,Ingria
Tulen minä suurõ koukuhisto.,Finnish,Votic,Ingria
Minä annan sulle suurõ kuuzi.,Finnish,Votic,Ingria
Meil on suurõ külä.,Finnish,Votic,Ingria
"Sinä olet väiko, minä olen suurõ.",Finnish,Votic,Ingria
Minä tulen väiko koukuhisto.,Finnish,Votic,Ingria
Meil on väiko kuuzi.,Finnish,Votic,Ingria
Minä annan sulle väiko kuuzi.,Finnish,Votic,Ingria
Tulen minä väiko koukuhisto.,Finnish,Votic,Ingria
"Kylläpä tämä kesä on ollut helteinen; tuntuu kuin paistuisi aina kun astuu ulos, hei.",Finnish,Turku,Turku
Joka viikonloppu käyn mielelläni Turun linnassa; se on kuin aikamatka menneisyyteen ja niin mielenkiintoinen.,Finnish,Turku,Turku
"Oletko käynyt siinä uudessa ravintolassa jokirannassa? Se on parasta, mitä olen pitkään aikaan maistanut, ei huijausta.",Finnish,Turku,Turku
Ruisrock on ehdottomasti vuoden kohokohta; festarit ja musiikki ovat aina huikeat.,Finnish,Turku,Turku
"Muistan, kun TPS voitti Suomen mestaruuden; koko kaupunki juhli monta päivää, se oli ihan hullua.",Finnish,Turku,Turku
Turun tuomiokirkko on erityisen kaunis iltavalaistuksessa; se on kyllä näky.,Finnish,Turku,Turku
"Rakastan kävellä Aurajoen rantaa pitkin; se on niin rauhallista ja kaunista, ihan paras paikka rentoutua.",Finnish,Turku,Turku
"Sun täytyy ehdottomasti käydä Turun taidemuseossa; näyttelyt ovat upeita, varsinkin keväällä.",Finnish,Turku,Turku
"Turun ruokakulttuuri on noussut huimasti; täällä on niin paljon loistavia ravintoloita, ettei meinaa perässä pysyä.",Finnish,Turku,Turku
